id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
499,nao gosto muito do gosto da carne,amigos,aversao,opcões em restaurantes,mulher_cis,branca,superior
500,"porque consumo de forma consciente ja fui vegetariana por 17anos e agora nao quero restricões, mas sim cuidado com a alimentacao e a procedencia",midias,saude,nenhuma,mulher_cis,branca,superior
501,"nao gosto da carne vermelha, bate mal no estômago e tenho dificuldade de achar uma carne que eu goste, geralmente nervos e nos me incomodam, por isso opto pelo frango que e sempre igual em qualquer lugar tambem evito o consumo diario de carne pensando no bem estar animal, apesar de nao investigar a origem da proteina que como, evito a ingestao por carinho aos animais nao como churrasco, nao como diversas carnes por carinho aos animais passei um periodo como vegetariana, mais de oito meses, mas ficava constantemente doente, voltei a comer proteina animal",midias,etica_animal,na hora de comer fora nao tem opcões de proteinas vegetais. pra nao comer carne a gente acaba optando por ovo que todo restaurante tem.,mulher_cis,branca,superior
502,"pelo fato de estar mais inteirado sobre o assunto, entendo a importância de diminuir cada vez mais o consumo de carne",midias,impacto_ambiental,"opcões de legumes, frutas e outros substitutos para a carne aqui no municipio que eu moro.",mulher_cis,parda,mestrado
503,"por ser educadora_ambiental e biologa entendendo os impactos causados no ambiente e na sociedade para criacao de gado, sendo assim busco maneiras de diminuir meu impacto no ambiente por meio da diminuicao do consumo de carne ao menos uma vez na semana ou substituindo por outros alimentos",escola_universidade,impacto_ambiental,"a maior dificuldade esta relacionada com quem cozinha os alimentos em minha casa, devido a rotina de trabalho, passo o dia fora e nao consigo preparar todas as refeicões, moro com meus pais e normalmente e minha mae quem cozinha as principais refeicões, ela nao busca substituir a carne por outros alimentos, como ja tem a carne pronta acabo ingerindo.",mulher_cis,branca,superior
504,pra manter minha saude equilibrada consumindo alimentos 90 por cento natural,meus_pais,saude,orientar as pessoas que comer carne todo dia nao e saudavel pra saúde,homem_cis,preta,superior
505,"tentando nao consumir mais carne vermelha e assim, seguir com a reducao dos outros tipos de carne",escola_universidade,saude,opcões fora de casa. quando preciso comer na rua.,mulher_cis,parda,mestrado
506,porque eu reduzir o consumo de carne,midias,saude,a falta de informacao,mulher_cis,parda,superior
507,porque a carne esta muito cara e nao cabe no meu orcamento,midias,impacto_ambiental,nenhuma,mulher_cis,preta,medio
508,sim,midias,impacto_ambiental,"organizacao e planejamento para uma dieta mais adequada, alto custo determinados produtos e acesso limitado a produtos de melhor qualidade em comercio, feiras e tal.",mulher_cis,branca,mestrado
509,tenho pena dos animais embora aprecie sua carne,outros,religiao,apreciar o sabor da carne,mulher_cis,branca,mestrado
510,porque aos poucos tento restringir o consumo de carne,essa_pesquisa,etica_animal,gosto,mulher_cis,branca,superior
511,"penso que devemos melhorar a qualidade de nossa alimentacao, respeitar mais o meio ambiente e a os animais",midias,saude,falta de opcões,homem_cis,branca,superior
512,"eu sou consciente dos maleficios do consumo de carne para a saude, para o ambiente e sociedade, mas ainda consumo por gostar do gosto da carne e as vezes por nao ter outras opcões no dia a dia",midias,etica_animal,superar o habito cultural de comer carne,mulher_cis,branca,mestrado
513,sim,outros,impacto_ambiental,nenhuma,mulher_cis,branca,doutorado
514,consciencia ambiental,essa_pesquisa,etica_animal,nenhuma,mulher_cis,branca,superior
515,por nao gostar muito de carne e por causa do planeta tb,amigos,impacto_ambiental,"familiar, a dieta da familia ainda e muito baseada na proteina animal",mulher_cis,branca,superior
516,porque ainda como carne,outros,saude,minha familia,mulher_cis,branca,superior
517,"porque eu como carne frequentemente, apesar de estar comendo mais vegetais no últimos anos,",midias,saude,nao quero reduzir meu consumo,homem_cis,branca,doutorado
518,acho que se tivermos outros alimentos podemos diminuir o consumo de carnes por impactarem o meio ambiente e pela forma que esses animais sao criados em confinamento,outros,saude,conseguir saber a quantidade de outros alimentos que equivalem a mesma quantidade de proteina necessario ao dia,mulher_cis,branca,superior
519,nao sinto necessidade em consumir carna todos os dias,midias,saude,variedade e habito,mulher_cis,branca,superior
520,carne nao faz falta,midias,impacto_ambiental,habitos e variar fontes proteina,mulher_cis,branca,superior
521,porque tenho buscado reduzir o consumo de carnes,escola_universidade,impacto_ambiental,habitos alimentares desenvolvidos desde a infância,mulher_cis,branca,mestrado
522,defesa do meio ambiente,outros,impacto_ambiental,habito a ser modificado,mulher_cis,branca,doutorado
523,saude,midias,saude,dieta fora de casa,mulher_cis,branca,doutorado
524,porque eu tento reducir o consumo de carne,essa_pesquisa,saude,"tradicao alimentar, desconhecimento de alternativas saudaveis",homem_cis,branca,superior
525,"porque como carne de frango, peixe, derivados do leite, mel, propolis",midias,impacto_ambiental,o preco alto de alimentos vegetarianos,mulher_cis,branca,mestrado
526,nao me considero e a primeira vez que ouvi esse termo so estou no processo de reducao do consumo de proteina animal,essa_pesquisa,saude,"quebrar as crencas de que e fundamental o consumo de proteina animal para uma dieta saudavel. mudar a forma como sempre me alimentei (proteina, carboidrato e misturas)",mulher_cis,branca,mestrado
527,capacidade planetaria em limitacao crescente para alimentar humanos com carnes,escola_universidade,impacto_ambiental,falta de tempo para preparo de itens substitutivos/ fermentados e a cultura,mulher_cis,branca,superior
528,"eventualmente eu como frango ou peixe, sempre fora de casa, onde nao encontro outras opcões",outros,etica_animal,disponibilidade de comidas vegetarianas em alguns lugares/restaurantes ou eventos sociais,mulher_cis,branca,mestrado
529,porque no contexto em que eu vivo e muito dificil abolir a carne,escola_universidade,impacto_ambiental,opcões acessiveis nos locais que eu frequento,homem_cis,branca,mestrado
530,"principalmente porque sempre considerei que e um alimento pesado para o organismo devido a sua lenta digestibilidade, entao porque os ruminantes contribuem para a emissao de metano, que e um gas de efeito estufa, os precos da carne bovina sao muito altos,",meus_pais,saude,relacoes sociais,mulher_cis,branca,doutorado
531,porque nao gosto de carne de boi,essa_pesquisa,saude,nenhuma,mulher_cis,branca,medio
532,"porque reduzi a carne, principalmente a vermelha",essa_pesquisa,saude,nenhuma,mulher_cis,preta,superior
533,sim,midias,impacto_ambiental,falta de entendimento da sociedade e falta de opcões em restaurantes,mulher_cis,branca,superior
534,"porque apos reduzir o consumo consciente, hoje eu nem reparo nem escolho mais os dias em que nao comerei carne se tornou algo natural, quando me da vontade eu como, e sao poucas vezes que essa vontade surge em minha fome",midias,impacto_ambiental,"acho os embutidos super tentadores, ainda tenho dificuldade de recusar por questao de achar eles únicos nas receitas, um sabor viciante",mulher_cis,branca,superior
535,nem sabia que existia o termo,outros,etica_animal,"as cias, festas, mas como nao tenho saido entao nao esta dificil",mulher_cis,branca,superior
536,"porque tenho consciencia dos impactos causadas pelo consumo, mais ainda nao consegui parar por completo",outros,impacto_ambiental,conciliar com a alimentacao dos demais membros da familia,mulher_cis,preta,mestrado
537,por nao consumir carnes ou alimentos de origem animal todos os dias,outros,impacto_ambiental,nenhuma,mulher_cis,branca,superior
538,porque estou tentando diminuir o consumo de carne na minha casa,amigos,etica_animal,minha familia pede carne em casa,mulher_cis,branca,superior
539,sim,amigos,saude,gosto muito de carne animal,homem_cis,branca,mestrado
540,"devido aos impactos ambientais a nivel mundial, como ato politico, como modo de cuidar do organismo",outros,impacto_ambiental,nenhuma,homem_cis,branca,superior
541,porque venho reduzindo o consumo de carne vermelha ha algum tempo pos diversas questoes,escola_universidade,impacto_ambiental,"a cultura. comer carne se tornou quase obrigatorio em casa.
e agora, para tentar desmistificar isso junto a pessoas que comem carne desde sempre, fica muito complicado .",homem_cis,preta,mestrado
542,"pretendo me tornar vegana, nao sendo possivel realizar essa mudanca do dia para a noite",outros,aversao,"eu realizo as minhas principais refeicões no meu trabalho, la eu tenho acesso a duas refeicões gratuitas por dia. e mais econômico e pratico no dia-a-dia",mulher_cis,branca,medio
543,porque me adapto a situacao,essa_pesquisa,impacto_ambiental,"economico. quando quero consumir carne opto pela carne moida, porque e mais barata.",pnr,branca,superior
544,"por conta da pressao da pecuaria bovina sobre areas naturais preservadas e emissao de metano alem do preco atual substituiria tranquilamente o frango e carne suinas por peixes e cogumelos, no entanto o financeiro desses produtos nao me permite",outros,impacto_ambiental,"nao conseguiria cortar totalmente o consumo de carne vermelha por que gosto do sabor, e insubstituivel. ja consmo muito pouco a meu ver.",mulher_cis,branca,mestrado
545,"nunca tive afinidade por carnes vermelhas, impacto_ambiental, intolerância, etica animal, saude",escola_universidade,impacto_ambiental,nenhuma,mulher_cis,branca,superior
546,fiquei totalmente vegetariana por 7 anos e senti necessidade de voltar a comer peixe mas os demais nao quero e consigo consumir,outros,saude,"alimentacao em certos locais e dificil mas me acostumei, julgamento da familia tb desgasta bastante",mulher_cis,branca,superior
547,"nao tenho uma resposta muito clara para isso nunca antes escutei o termo nem pensei no assunto na verdade nem gosto da palavra ou do conceito por enquanto me parece uma classificacao arbitraria, mas vejamos",outros,saude,nenhuma,homem_cis,branca,superior
548,nao,outros,saude,opcões mais trabalhosas,mulher_cis,branca,superior
549,estou tentando diminuir o consumo de carne,midias,etica_animal,encontrar substitutos que saciem a fome,mulher_cis,amarela,superior
550,porque na pandemia passei a ter maior frequencia de preparo de carne (2x ao dia) e o contato constante e frequente com a carne me fez criar resistencia e optar por reduzir carne na alimentacao,amigos,aversao,consumo de familiares,homem_cis,branca,superior
551,porque reduzi o consumo de carne e dou preferencia por cardapios vegetariano ou vegano,outros,etica_animal,conhecer combinacões nutricionais,mulher_cis,branca,superior
552,pois comecei removendo mamiferos e a cada ano que passa vejo que tenho menos vontade de consumir outros seres nao mamiferos tambem,outros,impacto_ambiental,preco de produtos vegetais substitutos,mulher_cis,branca,mestrado
553,a carne nao costuma ser o elemento central da refeicao,amigos,etica_animal,familiares que vivem junto a mim,homem_cis,branca,mestrado
554,tento reduzir o consumo de carnes,amigos,etica_animal,alimentos alternativos de facil acesso,mulher_cis,branca,mestrado
555,porque acredito na necessidade de reducao da carne em funcao das consequencias ambientais e tambem pelos maus tratos animais,midias,impacto_ambiental,habito alimentar,homem_cis,parda,doutorado
556,"porque decidi nao somente porquestoes financeiras, mas tbe em razao do meio ambiente, modos de producao, criacao dos animais e pelos animais, reduzir consumo de carnes",midias,impacto_ambiental,gosto muito de carne e sinto necessidade de consumir,mulher_cis,branca,superior
557,"porque nao gosto mais do cheiro da carne de boi e tenho reduzido muito o consumo, optando por peixe ou ovos os precos da carne tbm estao abusivos",essa_pesquisa,saude,encontrar uma fonte de proteina que supra a necessidade nutricional,mulher_cis,parda,doutorado
558,"entendo os problemas da producao de alimento de origem animal e aprecio sabores, cultura, saberes que a alimentacao traz consigo",escola_universidade,impacto_ambiental,nenhuma,mulher_cis,branca,superior
559,nao,essa_pesquisa,saude,adoro hambuguer,mulher_cis,indigena,superior
560,"nao gosto muito de carne de boi, e como ""pouco"" das demais",escola_universidade,aversao,presenca de carne em muitos pratos,mulher_cis,parda,medio
561,"Varios motivos: tenho do dos animais, meu marido e vegetariano e acabo cozinhando sem carne, fico sem comer carnes tranquilamente gosto mas nao me faz falta ficar tempos sem comer",outros,etica_animal,me saciar,mulher_cis,branca,superior
562,porque ainda nao consegui tirar o peixe da minha alimentacao,outros,etica_animal,ainda sinto falta de alguns sabores e texturas. alem da falta de locais com opcões vegetarianas diversificadas,mulher_cis,branca,superior
563,nao necessito da carne como fonte principal de minha dieta outros alimentos contem proteina necessaria,essa_pesquisa,saude,nenhuma,mulher_cis,branca,mestrado
564,faco o exercicio consciente de reduzir o consumo de carne,midias,impacto_ambiental,encontrar opcões (moro no interior) e tempo para cozinhar,mulher_cis,branca,mestrado
565,porque exclui carne pelo menos 1x por semana,outros,impacto_ambiental,gosto de comer carne,homem_cis,branca,superior
566,conheci o termo nesse momento gostei tenho reduzido meu consumo de proteina animal,essa_pesquisa,impacto_ambiental,falta de alternativas e disponibilidade de alimentos vegetais de qualidade em muitos momentos.,homem_cis,branca,superior
567,porque gosto de outros alimentos de origem animal,outros,impacto_ambiental,nenhuma,mulher_cis,branca,superior
568,porque aboli carne mais de uma vez na semana,outros,impacto_ambiental,baixa diversidade de graos,mulher_cis,branca,doutorado
569,porque tento comer o minimo de carne possivel,amigos,impacto_ambiental,falta do sabor principalmente de embutidos,mulher_cis,branca,superior
570,"nao me considero flexitariano se for pra definir um rotulo diria naturalista, que tenta fazer as refeicões da forma mais natural nao compro e nem preparo mais carne como as vezes a convite de amigos, geralmente em pouca quantidade",outros,etica_animal,nenhuma,homem_cis,branca,superior
571,"porque tento reduzir o consumo de carne, principalmente a vermelha, e substituir por outros tipos de proteina, vegetal ou animal de criacao livre",outros,religiao,"falta de costume da maioria das pessoas, inclusive na familia, a cultura de consumo exessivo de carne no brasil e o padrao social e julgamento das pessoas que desconhecem os prejuizos",mulher_cis,branca,doutorado
572,"gosto de ter um consumo mais saudavel de carnes e sempre trago para os que estao proximos o quao importante e ter uma dieta balanceada como foco em diminuir o consumo de carne trazendo para o prato mais verduras e legumes, para tentar reduzir o impacto_ambiental",outros,impacto_ambiental,nenhuma,homem_cis,parda,medio
573,nao,escola_universidade,impacto_ambiental,opcoes,homem_cis,parda,superior
574,"porque as carnes em geral pra mim sao de dificil digestao, porque a criacao de gado/animal causam impacto_ambiental e na alimentacao de animal contem muito agrotoxico, hormônio, etc",escola_universidade,saude,nenhuma,mulher_cis,branca,mestrado
575,"porque carne sempre foi um complemento e nao o prato principal na minha casa, damos preferencia a legumes e verduras",meus_pais,saude,nenhuma,mulher_cis,branca,superior
576,so reduzi o consumo mesmo por acreditar que possa ser positivo para a saude,midias,saude,alem de gostoso e muito pratico encontrar em qualquer lugar,homem_cis,branca,superior
577,"nunca me rotulei dessa forma, mas eu convivo com um vegano e cada dia mais venho substituindo coisas na minha alimentacao por alimentos veganos",amigos,saude,falta de conhecimento sobre questões nutricionais,mulher_cis,branca,superior
578,"a familia sempre foi a favor da reducao, nao havia necessidade de comer diariamente, principalmente por causa da digestao que diziam ser demorada hoje em dia ha a consciencia de excesso na alimentacao mundial e, consequentemente, das questoes ambientais",meus_pais,impacto_ambiental,sinto dificuldade quando estou hospedado em casa de pessoas que consomem diariamente e ha pouca opcao de legumes e verduras,mulher_cis,amarela,superior
579,estou em processos de adaptacao ao vegetarianismo fugindo da tradicao cultural alimentar brasileira (famoso churrasco),escola_universidade,etica_animal,"poucas opcões de cardapios vegetarianos em estabelecimentos alimentares. embora, este movimento esteja crescendo.",homem_cis,branca,superior
580,porque busco alternativas pra carne,midias,etica_animal,equilibrio nutricional,mulher_cis,branca,superior
581,pois tento comer o minimo possivel de proteina animal,midias,etica_animal,"falta de carnes vegetais com preco acessivel, com melhor sabor e com menos sodio.",homem_cis,branca,superior
582,pela preocupacao em depender cada vez menos de proteina de origem bovina principalmente,midias,saude,fonte de proteina em quantidade,homem_cis,branca,superior
583,a dieta de menos carne me faz muito bem,outros,aversao,encontrar mais alimentos alternativos,mulher_cis,branca,mestrado
584,"sim, alem de estar reduzindo o consumo de carne, estou tentando consumir tudo de forma mais consciente e preferindo sempre alimentos orgânicos, inclusive carne se possivel, ovos",midias,saude,"opcões saborosas, saudaveis e que eu gosto (como tenho muita seletividade alimentar, sao poucas coisas de origem vegetal que eu como, o que complica rs porque muitas vezes nao e nem o gosto da comida, mas a textura ou cheiro, aspecto dela, me faz nao conseguir comer de jeito nenhum mesmo! tem alimento que so consigo comer por exemplo numa sopa q depois e batida no liquidificador rs porque nao suporto mastigar muitos alimentos...)",mulher_cis,branca,superior
585,como pouca carne pois nao faco questao e nao gosto muito do sabor,midias,impacto_ambiental,nenhuma,mulher_cis,branca,superior
586,sim pois tento diminuir o consumo de carnes causador de impactos ambientais nocivos ao planeta,midias,impacto_ambiental,"ter mais trabalho na cozinha ,variar receitas e agradar a todos os familiares.",mulher_cis,branca,superior
587,"tem alguns anos que reduzi o consumo de carne, gostaria de reduzir a zero e me tornar vegetariana, mas tem sido dificil resistir a algumas tentacões",midias,etica_animal,"apesar de hj existir alternativas a carne animal, q carne vegetal nao e tao acessivel. claro que existem receitas tambem que faco as vezes, mas o dificil e a falta de tempo para cozinhar, gostaria de ter mais tempo de fazer tudo, desde os molhos, ate a propria mistura e reduzir ate o consumo de industrializados.",mulher_cis,branca,superior
588,porque resolvi reduzir o consumo de carnes depois que meus filhos se tornaram vegetarianos,outros,etica_animal,habito,mulher_cis,branca,mestrado
589,porque nao gosto muito,essa_pesquisa,aversao,nenhuma,mulher_cis,parda,superior
590,consumo de carne vermelha e insustentavel ambientalmente e por conta dos processos de crueldade que envolvem a criacao,escola_universidade,impacto_ambiental,social,mulher_cis,branca,doutorado
591,para favorecer o meio ambiente,midias,impacto_ambiental,faltas de boas opcões de proteina de facil e rapido preparo,mulher_cis,branca,superior
592,sim,amigos,saude,alto valor dos alimentos que substituem as proteinas animais,homem_cis,preta,superior
593,compromisso com o ambiente e por conta disso estou reduzindo cada vez mais as carnes ate parar de vez,meus_pais,impacto_ambiental,sabor,mulher_cis,preta,doutorado
594,pelos animais e pelo planeta,midias,impacto_ambiental,habito de consumo e a necessidade de proteina para os músculos,mulher_cis,branca,superior
595,pela forma como os animais sao tratados nos processos de producao,outros,etica_animal,nenhuma,mulher_cis,branca,doutorado
596,"me considero porque tiro a carne da minha alimentacao, alguns dias da semana para melhorar minha saude",essa_pesquisa,saude,ter outra pessoa na residencia que gosta muito de carne,mulher_cis,parda,superior
597,"digestao dificil de carne vermelha, consciencia do tratamento oferecido a esses animais em matadouros",outros,aversao,nenhuma,mulher_cis,branca,mestrado
598,"tentei ser vegetariana, mas como nao consegui, retirei a carne vermelha, e tento reduzir o consumo de frango ou peixe",midias,etica_animal,recursos limitados (tempo e dinheiro) para investir em uma melhor alimentacao,mulher_cis,pnr,superior
599,para ter melhor saude,meus_pais,saude,grupo social ainda ser muito carnivoro,mulher_cis,preta,medio
600,reduzi muito a ingestao de carnes,midias,impacto_ambiental,falta de substitutos para receitas habituais,mulher_cis,branca,superior
601,porquestoes ambientais e tambem de saude,essa_pesquisa,saude,cultura e desconhecimento de alternativas,homem_cis,preta,superior
602,porque como carne minimamente,outros,etica_animal,parece que nao fica totalmente cheio o meu estômago,mulher_cis,branca,superior
603,"porque nao me abstenho em comer carnes animais, devido a presenca de aminoacidos essenciais exclusivos a esta natureza nutricional",escola_universidade,saude,o consumo de produtos orgânicos ainda muito dispendiosos ao acesso na alimentacao rotineira das pessoas.,pnr,branca,superior
604,gosto da ideia de reduzir o consumo de carne,midias,saude,digestao e precos,mulher_cis,parda,superior
605,porque eu procuro ter habitos de consumo moderados e saudaveis,outros,saude,encontrar bons substitutos,homem_cis,branca,mestrado
606,nao me considero,outros,saude,nenhuma,mulher_cis,branca,doutorado
607,porque busco diminuir o consumo da carne e derivados,outros,saude,o habitos das pessoas com que convivo influi,mulher_cis,branca,superior
608,evito o consumo o maximo de carnes sempre que possivel,midias,impacto_ambiental,"convivencia com pessoas que consomem carne. por exemplo: visita a casa de amigos, churrasco com amigos, etc.",mulher_cis,parda,superior
609,porque eu reduzir consideravelmente o meu consumo de carne nos últimos anos,midias,etica_animal,falta de disciplina com os alimentos comprados em casa,mulher_cis,parda,superior
610,porque foi uma acao intencional nao comer carne as segundas feiras e tambem reduzir o consumo de carne vermelha ja faz algum tempo que esse habito foi incorporado a minha rotina,midias,impacto_ambiental,nao cozinho em casa,mulher_cis,branca,superior
611,"porque evito o consumo de carne, mas ainda nao consegui eliminar esse tipo de alimento da minha dieta",midias,impacto_ambiental,nenhuma,mulher_cis,branca,superior
612,porque reduzi o consumo de carne,midias,saude,nenhuma,mulher_cis,branca,superior
613,"sim, mas talvez reducetariano defina melhor",midias,impacto_ambiental,oferta de alternativas a carne no refeitorio do trabalho,homem_cis,branca,superior
614,me alimento com variedade,midias,saude,vontade de consumir,mulher_cis,branca,superior
615,consumo demasiado/desnecessario carne,midias,etica_animal,grana,homem_cis,parda,superior
616,porque reduzi o consumo de carnes por opcao,midias,etica_animal,nenhuma,homem_cis,branca,superior
617,ja fui vegetariana,outros,religiao,nenhuma,mulher_cis,branca,superior
618,tenho tentado reduzir o consumo de carnes vermelhas,outros,saude,"encontrar mais opcões no interior, cidade pequena as vezes dificulta o acesso a mais opcões",pnr,branca,superior
619,porque so como carne de peixe e mariscos,escola_universidade,religiao,o preco alto dos produtos vegetarianos,homem_cis,parda,superior
620,por motivos da consciencia do sofrimento do animal,amigos,etica_animal,a questao de valores de alimentos mais orgânicos,mulher_cis,parda,medio
621,sim,outros,etica_animal,"falta de vitaminas e energia, reduzi fazem 10 anos e sinto o impacto no organismo",mulher_cis,branca,superior
622,pois diminui o consumo de proteina animal voluntariamente,outros,impacto_ambiental,nenhuma,homem_cis,branca,mestrado
623,sim,midias,saude,nenhuma,mulher_cis,branca,superior
624,estou reduzindo o consumo de carnes,amigos,saude,prazer em comer carne vermelha,homem_cis,branca,doutorado
625,"reduzi a carne por consciencia, para ajudar o meio ambiente",escola_universidade,impacto_ambiental,opcões em restaurantes,mulher_cis,branca,mestrado
626,por reduzir a frequencia do consumo de carnes,outros,etica_animal,cultural,mulher_cis,branca,superior
627,para reduzir o impacto_ambiental que muitas das producões causam e evitar ingestao de transgenicos (muito utilizado nas racões desses animais) e antibioticos,outros,impacto_ambiental,criatividade nas receitas,mulher_cis,branca,superior
628,"porque nao priorizo o consumo de carne nas refeicões, mas acredito que a proteina animal e necessaria a nosso organismo visto que somos seres onivoros",outros,impacto_ambiental,nenhuma,mulher_cis,branca,superior
629,porque so consumo peixes como carne animal,midias,aversao,"falta de opcões na ""rua""",homem_cis,branca,mestrado
630,porque consumir esse tipo de alimento aumenta muito meus gastos com alimentacao e esse movimento me fez repensar sobre a exploracao animal e do meio ambiente que existem na producao de carnes,midias,etica_animal,"a falta de conhecimento e acesso, ainda, a outros alimentos e preparacões.",mulher_cis,branca,superior
631,"alem dos indicados nas perguntas 19 e 20, mudancas climaticas, impactos na saude do consumo de carne vermelha",midias,etica_animal,substituicao da vitamina b12,mulher_cis,branca,superior
632,nao me considero apenas por motivo religioso nao como carne as sextas,midias,religiao,"ja fui vegetariana por dez anos, mas hoje nao considero mais uma possibilidade.",mulher_cis,branca,mestrado
633,porque tenho pena da morte e nao concordo com o modo que os animais sao criados,outros,saude,substituicao e novas possibilidades de alimentos de facil acesso e preparo.,mulher_cis,branca,doutorado
634,pois reduzo intencionalmente o consumo de carne,escola_universidade,impacto_ambiental,nenhuma,mulher_cis,branca,mestrado
635,pois tenho evitado o consumo de carne,escola_universidade,impacto_ambiental,cultura alimentar,mulher_cis,branca,mestrado
636,sim,outros,religiao,proteina,mulher_cis,pnr,doutorado
637,devido reduzir consumo de carne,midias,etica_animal,"em algum momento, sente-se falta",homem_cis,amarela,mestrado
638,tenho reduzido a ingesta de proteina animal,midias,saude,familia fazer questao de carne,mulher_cis,branca,mestrado
639,tento ao maximo reduzir meu consumo de carne com a intencao de me tornar vegetariana em algum momento,escola_universidade,impacto_ambiental,vida social,mulher_cis,amarela,mestrado
640,da carne vermelha principalmente pelo modo de producao em superescala e suas consequencias em ultima instancia pelo aumento de preco e inflacao,midias,impacto_ambiental,"cultura, opcões de alternativas e reeducacao alimentar",homem_cis,parda,mestrado
641,nao considero certa a criacao e o abuso sofrido pelos animais,midias,etica_animal,falta de tempo para cozinhar em uma casa que todos comem carne,mulher_cis,branca,medio
642,"eu desejo muito me tornar vegana, mas minha dieta e toda baseada em carne e produtos derivados do leite atualmente, consegui reduzir drasticamente meu consumo de carne, mas o leite e queijo sao um problema pra mim, meu maior desafio",outros,etica_animal,"o preco dos substitutos. queria acrescentar a proteina de soja, mas acho o preco nao muito acessivel. alem disso, minha familia inteira fala muito sobre como parar de comer carne esta me fazendo mal, o que nao e verdade pois sempre fui magra, muito antes de pensar em abaixar o consumo de carne",mulher_cis,branca,medio
643,por fazer mal se ingerir com frequencia,escola_universidade,impacto_ambiental,gostar do sabor,mulher_cis,branca,superior
644,"pois devido a questoes econômicas, carnes mais caras e salarios mais baixos, nao posso consumir a quantidade de carne, porem, tambem estou diminuindo o consumo e buscando outras fontes de maior proteina",midias,saude,"devido a cultura de minha familia, que e originaria do rio grande do sul, de fazer churrasco sempre que possivel.",mulher_cis,parda,medio
645,porque era vegetariana e voltei a comer peixe,amigos,impacto_ambiental,sair em grupo (principalmente familia) com pessoas que nao respeitam e insistem em oferecer carne,mulher_cis,branca,medio
646,"eu nem sabia que tinha esse nome, mas agora que sei, me considero flexitariana porque entendo como problematico o consumo excessivo de carne alem disso, depois de morar com amigo vegetarianos, aprendi novas receitas e passei a deixar de sentir necessidade da carne",amigos,impacto_ambiental,nenhuma,mulher_cis,parda,superior
647,"busco reduzir o consumo de carne, so como frango e peixe que meu pai cria alem disso entendo que o sofrimento animal e mais uma face do capital atuando, portanto busco reduzir bastante o consumo e procurar outras formas de me alimentar",escola_universidade,impacto_ambiental,memoria afetiva,mulher_cis,branca,superior
648,tentar causar algum impacto na industria da carne,amigos,etica_animal,gostar do sabor,mulher_cis,branca,mestrado
649,"pois nao sinto prazer em comer carne com muita frequencia, chega a enjoar, e esta caro",meus_pais,impacto_ambiental,"o peso das massas, o preco das carnes veganas e o gosto maior pela carne de frango",mulher_cis,branca,medio
650,por preferencia,escola_universidade,saude,nenhuma,mulher_cis,branca,superior
651,sim,amigos,religiao,habito,mulher_cis,branca,superior
652,"nunca gostei muito de consumir carne vermelha, entao acabei reduzindo a presenca na minha dieta",amigos,aversao,falta de opcao no ambiente domestico,mulher_cis,branca,superior
653,"principalmente pelo preco do acougue atualmente no brasil, e tambem porquestoes que ainda nao conseguiria ter uma vida zero carne e embutidos no momento, porquestoes financeiras para suplementos e consultas frequentes a nutricionistas",escola_universidade,impacto_ambiental,"financeira, e tambem como sou do interior diversidade de ""proteinas"" veganas no supermercado se torna raro.",mulher_cis,branca,superior
654,porque evito carne bovina,midias,impacto_ambiental,gostar do sabor,homem_cis,branca,superior
655,pretendo eliminar a carne da minha dieta alimentar,midias,saude,preguica ou ha falta de tempo pra prepara as saladas.,mulher_cis,preta,superior
656,nao mimcosudero,midias,etica_animal,criacao,pnr,preta,superior
657,"nao faco questao de comer carne ha alguns anos, na tentativa de virar vegetariana, tive indicio de anemia e pra mim, nao faz sentido deixar de comer a carne e alimentar ainda mais a indústria farmaceutica, que e tao danoso quanto a agropecuaria entao resolvi diminuir o consumo na medida do possivel",midias,impacto_ambiental,"minha familia gosta muito de comer carne, e como resido com eles, acaba sendo complicado.",mulher_cis,amarela,medio
658,questao financeira,escola_universidade,impacto_ambiental,"minha crenca em ser mais uma questao macro, da grande indústria da carne, do que individual",mulher_cis,parda,medio
659,porque escolho nao consumir alimentos de origem animal sempre que posso,meus_pais,etica_animal,"correria do dia a dia, as vezes voce fica na rua o dia inteiro sem comer e quando vai a alguma lanchonete dificilmente encontra produtos sem carne.",mulher_cis,parda,medio
660,nao,escola_universidade,saude,falta de emprego,homem_cis,indigena,superior
661,saude e politica,midias,saude,organizar a rotina alimentar,mulher_cis,parda,superior
662,"nao como carne vermelha, nem frango, normalmente durante a semana no minimo dois dias nao como carne alguma",midias,saude,oscilacao nas taxas dos meus hemogramas,mulher_cis,parda,medio
663,"ja fui vegetariana e voltei a consumir carne, mas ainda faco refeicões sem comer animais",midias,impacto_ambiental,sabor e praticidade,mulher_cis,branca,medio
664,sim,escola_universidade,etica_animal,comer fora de casa geralmente nao tem muitas opcões sem carne.,mulher_cis,parda,superior
665,"nao me considero, apenas porquestao financeira",essa_pesquisa,religiao,habito alimentar,mulher_cis,parda,superior
666,"nao me considero, nem havia pensado sobre o significado do termo",outros,impacto_ambiental,gostar do sabor,mulher_cis,parda,mestrado
667,como carne mas se nao tiver nao me faz falta,midias,saude,a sociedade onde vivo,homem_cis,branca,doutorado
668,por expansao de consciencia,midias,etica_animal,ter substitutos proteicos,mulher_cis,branca,doutorado
